ticket_id,created_at,business_unit,process_area,issue_description,issue_category,priority,status,assigned_team,sla_hours,resolution_hours,manually_estimated_minutes,ai_estimated_minutes,human_review_decision
OPS-00743,2025-03-17 21:50:07,Client Reporting,Data Quality,A manual override was requested for fund RIVER after an automated data quality validation failed.,Manual Override,Low,Resolved,Data Quality Team,72,42.7,5,2,Accepted
OPS-00609,2025-03-17 23:34:38,Data Operations,Trade Settlement,A manual override was requested for account S-204 after an automated trade settlement validation failed.,Manual Override,High,Resolved,Settlement Operations Team,28,21.8,42,17,Accepted
OPS-00691,2025-03-18 09:35:35,Data Operations,Reconciliation,NAV reconciliation difference detected between source data and the accounting report for portfolio HORIZON.,Failed Reconciliation,High,Escalated,Reconciliation Team,24,,31,15,Accepted
OPS-00578,2025-03-18 23:54:20,Investment Operations,Trade Settlement,Late confirmation received after the expected cutoff for mandate NOVA; settlement review is required.,Late Confirmation,Low,Resolved,Settlement Operations Team,68,44.5,12,6,Adjusted
OPS-00818,2025-03-19 00:56:38,Investment Operations,Trade Settlement,A manual override was requested for fund RIVER after an automated trade settlement validation failed.,Manual Override,High,In Review,Settlement Operations Team,24,,34,13,Accepted
OPS-00995,2025-03-20 07:11:27,Investment Operations,Pricing Issue,Exception workflow needs a reviewed override for portfolio ALPHA before processing can continue.,Manual Override,Low,Resolved,Pricing Control Team,72,22.6,9,3,Accepted
OPS-00650,2025-03-20 09:50:38,Risk Operations,Trade Settlement,Trade settlement is delayed because counterparty confirmation for fund RIVER has not arrived.,Late Confirmation,Low,Resolved,Settlement Operations Team,72,67.2,9,5,Accepted
OPS-00376,2025-03-21 05:06:22,Accounting Operations,Reconciliation,Reconciliation data mismatch detected between source system and accounting report for mandate NOVA.,Data Mismatch,High,Open,Reconciliation Team,20,,29,12,Pending
OPS-00885,2025-03-21 14:13:24,Client Reporting,Reporting,Validation found a discrepancy in counterparty confirmation values between source records and the operational report for fund RIVER.,Data Mismatch,Medium,Resolved,Client Reporting Team,48,62.3,13,6,Adjusted
OPS-00746,2025-03-21 17:09:06,Accounting Operations,Reconciliation,"Required account balance was not received for mandate NOVA, blocking reconciliation processing.",Missing Data,Medium,Open,Reconciliation Team,44,,16,9,Accepted
OPS-00238,2025-03-22 01:34:21,Investment Operations,Accounting Exception,NAV reconciliation difference detected between source data and the accounting report for mandate NOVA.,Failed Reconciliation,Critical,Open,Accounting Control Team,8,,53,31,Pending
OPS-00894,2025-03-22 01:37:10,Client Reporting,Reporting,Reporting workflow is waiting for missing reference data data for mandate NOVA.,Missing Data,Medium,In Review,Client Reporting Team,48,,31,13,Rejected
OPS-00519,2025-03-22 08:05:23,Risk Operations,Trade Settlement,Exception workflow needs a reviewed override for fund RIVER before processing can continue.,Manual Override,High,In Review,Settlement Operations Team,24,,33,15,Pending
OPS-01097,2025-03-22 17:25:09,Investment Operations,Data Quality,Analyst requested an approved manual adjustment to reference data for portfolio HORIZON.,Manual Override,Low,In Review,Data Quality Team,72,,10,4,Adjusted
OPS-00636,2025-03-22 20:02:10,Investment Operations,Pricing Issue,Pricing review is required for portfolio ALPHA after a tolerance breach in the valuation feed.,Pricing Discrepancy,Critical,Escalated,Pricing Control Team,12,,53,22,Accepted
OPS-01137,2025-03-22 20:56:42,Client Reporting,Client Request,Report delivery is at risk after a late upstream data refresh for mandate NOVA.,Report Delay,High,In Review,Client Service Team,24,,23,14,Pending
OPS-00908,2025-03-22 23:10:24,Data Operations,Reporting,Scheduled reporting output has not completed because valuation is still pending for fund ORION.,Report Delay,Medium,In Review,Client Reporting Team,48,,15,5,Adjusted
OPS-00948,2025-03-22 23:21:55,Investment Operations,Trade Settlement,Late confirmation received after the expected cutoff for account S-204; settlement review is required.,Late Confirmation,Medium,In Review,Settlement Operations Team,48,,14,8,Pending
OPS-00970,2025-03-23 03:36:05,Client Reporting,Reporting,Reporting workflow is waiting for missing security identifier data for account S-204.,Missing Data,Low,Open,Client Reporting Team,76,,18,6,Accepted
OPS-01048,2025-03-23 06:01:59,Compliance Operations,Compliance Review,Compliance Review identified a policy exception involving counterparty confirmation; human approval is required for mandate NOVA.,Policy Exception,Critical,Open,Compliance Review Team,8,,53,25,Adjusted
OPS-00662,2025-03-23 13:28:08,Compliance Operations,Compliance Review,Control check flagged account S-204 outside the configured policy threshold and needs documented review.,Policy Exception,High,Resolved,Compliance Review Team,24,10.0,37,12,Accepted
OPS-00839,2025-03-23 15:36:29,Compliance Operations,Compliance Review,Analyst identified incomplete security identifier information in the compliance review queue for fund ORION.,Missing Data,Medium,Resolved,Compliance Review Team,48,33.5,24,10,Accepted
OPS-00843,2025-03-23 22:22:00,Investment Operations,Pricing Issue,Independent price verification found an unusual counterparty confirmation variance for fund RIVER.,Pricing Discrepancy,High,Resolved,Pricing Control Team,20,15.0,47,15,Accepted
OPS-01148,2025-03-24 05:29:49,Investment Operations,Pricing Issue,Pricing discrepancy detected for account S-204 between source system and accounting report.,Pricing Discrepancy,High,Open,Pricing Control Team,20,,46,20,Accepted
OPS-00700,2025-03-24 07:38:45,Client Reporting,Client Request,Client reporting package for fund ORION is delayed due to missing benchmark data.,Report Delay,Medium,Resolved,Client Service Team,48,76.2,19,9,Adjusted
OPS-00309,2025-03-24 09:49:08,Investment Operations,Pricing Issue,Pricing review is required for mandate NOVA after a tolerance breach in the valuation feed.,Pricing Discrepancy,Medium,In Review,Pricing Control Team,48,,28,12,Accepted
OPS-00002,2025-03-24 22:36:40,Investment Operations,Data Quality,Analyst requested an approved manual adjustment to counterparty confirmation for portfolio HORIZON.,Manual Override,High,In Review,Data Quality Team,24,,32,11,Adjusted
OPS-00510,2025-03-25 06:47:33,Risk Operations,Accounting Exception,A manual override was requested for mandate NOVA after an automated accounting exception validation failed.,Manual Override,Low,Escalated,Accounting Control Team,76,,11,4,Pending
OPS-00681,2025-03-25 12:41:43,Investment Operations,Trade Settlement,"Required counterparty confirmation was not received for portfolio HORIZON, blocking trade settlement processing.",Missing Data,Medium,In Review,Settlement Operations Team,48,,11,6,Pending
OPS-00164,2025-03-25 13:01:59,Investment Operations,Pricing Issue,Pricing review is required for account S-204 after a tolerance breach in the valuation feed.,Pricing Discrepancy,High,Open,Pricing Control Team,24,,45,16,Accepted
OPS-01101,2025-03-26 01:36:54,Client Reporting,Reporting,Report delivery is at risk after a late upstream data refresh for fund ORION.,Report Delay,High,Escalated,Client Reporting Team,24,23.3,30,15,Pending
OPS-00262,2025-03-26 02:48:41,Investment Operations,Reconciliation,Unresolved reconciliation break in account balance requires source-system comparison for portfolio ALPHA.,Failed Reconciliation,High,Resolved,Reconciliation Team,28,19.1,41,16,Accepted
OPS-00628,2025-03-26 06:17:03,Data Operations,Reconciliation,Validation found a discrepancy in benchmark values between source records and the operational report for portfolio ALPHA.,Data Mismatch,Medium,Resolved,Reconciliation Team,48,14.4,15,5,Accepted
OPS-00370,2025-03-26 22:38:15,Accounting Operations,Reconciliation,Unresolved reconciliation break in valuation requires source-system comparison for fund ORION.,Failed Reconciliation,Medium,Resolved,Reconciliation Team,52,47.2,27,13,Adjusted
OPS-01239,2025-03-27 11:58:12,Data Operations,Pricing Issue,Pricing review is required for mandate NOVA after a tolerance breach in the valuation feed.,Pricing Discrepancy,High,Open,Pricing Control Team,24,,37,15,Adjusted
OPS-00389,2025-03-27 13:03:06,Client Reporting,Client Request,Validation found a discrepancy in counterparty confirmation values between source records and the operational report for portfolio ALPHA.,Data Mismatch,Medium,Resolved,Client Service Team,52,41.1,11,6,Accepted
OPS-00825,2025-03-27 13:30:15,Risk Operations,Pricing Issue,Pricing discrepancy detected for portfolio HORIZON between trade feed and custodian record.,Pricing Discrepancy,High,Resolved,Pricing Control Team,24,36.2,39,19,Adjusted
OPS-00259,2025-03-27 15:43:44,Client Reporting,Data Quality,Data Quality data mismatch detected between source system and accounting report for fund ORION.,Data Mismatch,Low,Resolved,Data Quality Team,72,55.4,5,2,Accepted
OPS-00322,2025-03-28 08:11:30,Risk Operations,Compliance Review,Potential compliance threshold exception for account S-204 requires analyst review before approval.,Policy Exception,High,In Review,Compliance Review Team,24,,40,16,Adjusted
OPS-01220,2025-03-28 10:49:28,Compliance Operations,Compliance Review,Compliance Review identified a policy exception involving counterparty confirmation; human approval is required for portfolio HORIZON.,Policy Exception,Medium,Resolved,Compliance Review Team,52,35.2,20,9,Accepted
OPS-00276,2025-03-28 20:38:07,Investment Operations,Accounting Exception,A manual override was requested for account S-204 after an automated accounting exception validation failed.,Manual Override,Low,Resolved,Accounting Control Team,76,29.4,9,4,Accepted
OPS-01197,2025-03-28 23:01:22,Investment Operations,Pricing Issue,Exception workflow needs a reviewed override for portfolio ALPHA before processing can continue.,Manual Override,High,Resolved,Pricing Control Team,20,18.4,34,18,Accepted
OPS-00009,2025-03-29 03:35:32,Client Reporting,Client Request,Report delivery is at risk after a late upstream data refresh for mandate NOVA.,Report Delay,Medium,Open,Client Service Team,48,,20,9,Pending
OPS-00231,2025-03-29 03:45:34,Client Reporting,Client Request,Analyst identified incomplete benchmark information in the client request queue for fund RIVER.,Missing Data,Medium,Resolved,Client Service Team,48,20.6,18,11,Accepted
OPS-00996,2025-03-29 07:25:50,Client Reporting,Client Request,Client Request workflow is waiting for missing account balance data for fund ORION.,Missing Data,Low,Resolved,Client Service Team,72,35.4,5,3,Adjusted
OPS-01241,2025-03-29 14:10:02,Compliance Operations,Compliance Review,Control check flagged account S-204 outside the configured policy threshold and needs documented review.,Policy Exception,Medium,Resolved,Compliance Review Team,48,15.1,28,15,Adjusted
OPS-00133,2025-03-29 20:59:48,Investment Operations,Client Request,fund ORION has inconsistent benchmark information requiring comparison across input files.,Data Mismatch,Medium,Resolved,Client Service Team,48,17.9,16,7,Accepted
OPS-00018,2025-03-29 22:54:08,Investment Operations,Data Quality,Analyst identified incomplete counterparty confirmation information in the data quality queue for fund ORION.,Missing Data,Low,Resolved,Data Quality Team,76,63.2,9,3,Accepted
OPS-00853,2025-03-29 23:47:06,Client Reporting,Client Request,Scheduled client request output has not completed because benchmark is still pending for portfolio HORIZON.,Report Delay,Low,Resolved,Client Service Team,72,45.7,10,6,Adjusted
OPS-00598,2025-03-30 13:37:51,Compliance Operations,Compliance Review,Potential compliance threshold exception for account S-204 requires analyst review before approval.,Policy Exception,Critical,In Review,Compliance Review Team,12,,52,25,Pending
OPS-00782,2025-03-30 17:14:35,Investment Operations,Trade Settlement,"Confirmation status remains pending for fund RIVER, delaying the settlement workflow.",Late Confirmation,High,Resolved,Settlement Operations Team,24,39.5,21,12,Accepted
OPS-00077,2025-03-30 21:54:26,Investment Operations,Reconciliation,Reconciliation failed after a difference was detected between pricing feed and control file for mandate NOVA.,Failed Reconciliation,High,Escalated,Reconciliation Team,24,36.7,40,16,Pending
OPS-00929,2025-03-31 03:29:24,Compliance Operations,Compliance Review,Control check flagged mandate NOVA outside the configured policy threshold and needs documented review.,Policy Exception,Critical,Resolved,Compliance Review Team,4,1.6,56,30,Accepted
OPS-00567,2025-03-31 04:58:14,Risk Operations,Compliance Review,Potential compliance threshold exception for portfolio ALPHA requires analyst review before approval.,Policy Exception,Critical,In Review,Compliance Review Team,8,,52,18,Pending
OPS-00403,2025-03-31 06:22:13,Client Reporting,Data Quality,"Required benchmark was not received for mandate NOVA, blocking data quality processing.",Missing Data,Medium,Resolved,Data Quality Team,48,40.7,16,8,Accepted
OPS-00763,2025-03-31 07:49:13,Investment Operations,Client Request,Client Request workflow is waiting for missing counterparty confirmation data for fund ORION.,Missing Data,Medium,Resolved,Client Service Team,48,16.0,15,6,Accepted
OPS-00428,2025-03-31 09:25:16,Investment Operations,Pricing Issue,Pricing discrepancy detected for mandate NOVA between trade feed and custodian record.,Pricing Discrepancy,Medium,Resolved,Pricing Control Team,48,42.6,19,8,Accepted
OPS-00689,2025-03-31 10:05:28,Compliance Operations,Compliance Review,Control check flagged mandate NOVA outside the configured policy threshold and needs documented review.,Policy Exception,Critical,In Review,Compliance Review Team,8,,64,28,Accepted
OPS-00141,2025-03-31 17:52:12,Compliance Operations,Compliance Review,Compliance Review data mismatch detected between trade feed and custodian record for account S-204.,Data Mismatch,Medium,Resolved,Compliance Review Team,44,34.2,23,11,Accepted
OPS-00233,2025-04-01 05:58:03,Investment Operations,Pricing Issue,Independent price verification found an unusual security identifier variance for fund RIVER.,Pricing Discrepancy,High,Escalated,Pricing Control Team,20,,40,23,Pending
OPS-00501,2025-04-01 13:59:08,Compliance Operations,Compliance Review,Compliance Review identified a policy exception involving security identifier; human approval is required for mandate NOVA.,Policy Exception,Medium,Resolved,Compliance Review Team,48,38.6,34,14,Accepted
OPS-00709,2025-04-02 01:37:18,Compliance Operations,Compliance Review,Analyst identified incomplete reference data information in the compliance review queue for mandate NOVA.,Missing Data,Medium,Resolved,Compliance Review Team,48,31.1,24,8,Adjusted
OPS-01029,2025-04-02 06:43:20,Risk Operations,Accounting Exception,mandate NOVA has inconsistent reference data information requiring comparison across input files.,Data Mismatch,Low,Resolved,Accounting Control Team,72,63.8,9,4,Rejected
OPS-00548,2025-04-03 02:52:25,Accounting Operations,Reporting,Report delivery is at risk after a late upstream data refresh for mandate NOVA.,Report Delay,High,In Review,Client Reporting Team,28,,34,14,Adjusted
OPS-00242,2025-04-03 23:55:01,Client Reporting,Client Request,Client Request workflow is waiting for missing reference data data for portfolio HORIZON.,Missing Data,High,Resolved,Client Service Team,20,21.6,22,9,Accepted
OPS-00810,2025-04-04 00:51:49,Data Operations,Data Quality,"Required account balance was not received for fund ORION, blocking data quality processing.",Missing Data,High,Resolved,Data Quality Team,24,17.9,28,14,Accepted
OPS-01142,2025-04-04 01:23:48,Investment Operations,Client Request,A manual override was requested for account S-204 after an automated client request validation failed.,Manual Override,Medium,Resolved,Client Service Team,48,76.1,18,8,Accepted
OPS-01076,2025-04-04 10:46:47,Investment Operations,Pricing Issue,Pricing discrepancy detected for account S-204 between source system and accounting report.,Pricing Discrepancy,Medium,Resolved,Pricing Control Team,48,23.4,17,10,Accepted
OPS-00733,2025-04-04 19:56:01,Compliance Operations,Compliance Review,Control check flagged account S-204 outside the configured policy threshold and needs documented review.,Policy Exception,Critical,Open,Compliance Review Team,4,,59,19,Pending
OPS-00447,2025-04-04 21:59:19,Investment Operations,Pricing Issue,Pricing discrepancy detected for fund RIVER between pricing feed and control file.,Pricing Discrepancy,High,Resolved,Pricing Control Team,28,34.4,35,13,Accepted
OPS-00601,2025-04-05 01:02:08,Accounting Operations,Accounting Exception,portfolio HORIZON has inconsistent reference data information requiring comparison across input files.,Data Mismatch,Low,In Review,Accounting Control Team,68,,6,3,Adjusted
OPS-00651,2025-04-05 08:47:33,Investment Operations,Pricing Issue,Pricing Issue workflow is waiting for missing security identifier data for fund RIVER.,Missing Data,Low,Resolved,Pricing Control Team,68,24.6,14,7,Accepted
OPS-00552,2025-04-05 18:18:58,Accounting Operations,Accounting Exception,fund ORION has inconsistent counterparty confirmation information requiring comparison across input files.,Data Mismatch,Medium,Resolved,Accounting Control Team,48,23.5,15,8,Adjusted
OPS-01198,2025-04-06 07:12:43,Data Operations,Data Quality,Analyst identified incomplete benchmark information in the data quality queue for portfolio HORIZON.,Missing Data,Low,Resolved,Data Quality Team,68,63.3,11,5,Accepted
OPS-00193,2025-04-06 14:12:44,Investment Operations,Trade Settlement,Late confirmation received after the expected cutoff for portfolio HORIZON; settlement review is required.,Late Confirmation,Medium,In Review,Settlement Operations Team,48,,18,8,Pending
OPS-00898,2025-04-06 15:32:07,Compliance Operations,Compliance Review,Compliance Review identified a policy exception involving valuation; human approval is required for fund RIVER.,Policy Exception,High,In Review,Compliance Review Team,28,,35,21,Rejected
OPS-01057,2025-04-06 18:53:44,Investment Operations,Pricing Issue,Pricing Issue data mismatch detected between source system and accounting report for fund RIVER.,Data Mismatch,Medium,Resolved,Pricing Control Team,44,30.7,20,8,Accepted
OPS-01002,2025-04-06 23:58:23,Accounting Operations,Accounting Exception,NAV reconciliation difference detected between source data and the accounting report for portfolio HORIZON.,Failed Reconciliation,High,Open,Accounting Control Team,24,,42,24,Accepted
OPS-00520,2025-04-07 01:57:48,Client Reporting,Client Request,Scheduled client request output has not completed because counterparty confirmation is still pending for fund RIVER.,Report Delay,Low,Resolved,Client Service Team,72,39.8,13,7,Accepted
OPS-00829,2025-04-07 08:23:47,Investment Operations,Trade Settlement,Exception workflow needs a reviewed override for fund RIVER before processing can continue.,Manual Override,Medium,Resolved,Settlement Operations Team,48,14.6,11,7,Rejected
OPS-00643,2025-04-07 11:27:26,Data Operations,Pricing Issue,Pricing review is required for portfolio ALPHA after a tolerance breach in the valuation feed.,Pricing Discrepancy,Medium,Resolved,Pricing Control Team,48,58.5,28,17,Rejected
OPS-00695,2025-04-07 13:25:39,Accounting Operations,Reconciliation,Reconciliation data mismatch detected between source system and accounting report for mandate NOVA.,Data Mismatch,Medium,Open,Reconciliation Team,44,,28,9,Adjusted
OPS-00927,2025-04-07 17:24:42,Compliance Operations,Compliance Review,Compliance Review identified a policy exception involving valuation; human approval is required for fund ORION.,Policy Exception,Critical,Escalated,Compliance Review Team,4,,48,17,Pending
OPS-01170,2025-04-08 00:20:40,Accounting Operations,Accounting Exception,Analyst requested an approved manual adjustment to reference data for mandate NOVA.,Manual Override,Medium,Resolved,Accounting Control Team,48,24.8,23,9,Rejected
OPS-00632,2025-04-08 08:54:56,Accounting Operations,Accounting Exception,Accounting Exception data mismatch detected between trade feed and custodian record for fund ORION.,Data Mismatch,Low,Escalated,Accounting Control Team,72,,12,5,Accepted
OPS-00569,2025-04-08 10:40:22,Investment Operations,Pricing Issue,Independent price verification found an unusual security identifier variance for portfolio ALPHA.,Pricing Discrepancy,Critical,In Review,Pricing Control Team,4,,52,21,Pending
OPS-01084,2025-04-08 17:08:32,Data Operations,Reporting,Report delivery is at risk after a late upstream data refresh for fund ORION.,Report Delay,Low,Resolved,Client Reporting Team,68,26.5,8,5,Accepted
OPS-00450,2025-04-10 21:01:14,Investment Operations,Pricing Issue,Analyst identified incomplete benchmark information in the pricing issue queue for portfolio ALPHA.,Missing Data,Medium,Resolved,Pricing Control Team,52,19.7,26,12,Accepted
OPS-00281,2025-04-11 14:33:46,Accounting Operations,Accounting Exception,Validation found a discrepancy in counterparty confirmation values between source records and the operational report for account S-204.,Data Mismatch,High,Open,Accounting Control Team,20,,36,14,Accepted
OPS-00990,2025-04-11 21:18:22,Investment Operations,Client Request,Analyst identified incomplete security identifier information in the client request queue for account S-204.,Missing Data,Medium,Resolved,Client Service Team,48,16.5,13,6,Accepted
OPS-00007,2025-04-11 22:33:48,Investment Operations,Trade Settlement,"Confirmation status remains pending for portfolio ALPHA, delaying the settlement workflow.",Late Confirmation,High,In Review,Settlement Operations Team,24,,29,13,Pending
OPS-00088,2025-04-12 09:07:02,Investment Operations,Trade Settlement,Analyst requested an approved manual adjustment to security identifier for portfolio HORIZON.,Manual Override,Low,Resolved,Settlement Operations Team,72,20.0,5,3,Adjusted
OPS-01007,2025-04-12 09:11:33,Investment Operations,Accounting Exception,A manual override was requested for portfolio HORIZON after an automated accounting exception validation failed.,Manual Override,Low,Resolved,Accounting Control Team,72,51.7,12,7,Accepted
OPS-00042,2025-04-12 11:56:30,Accounting Operations,Accounting Exception,NAV reconciliation difference detected between source data and the accounting report for account S-204.,Failed Reconciliation,Medium,Open,Accounting Control Team,52,,32,14,Accepted
OPS-01052,2025-04-12 14:30:51,Accounting Operations,Reconciliation,Unresolved reconciliation break in valuation requires source-system comparison for mandate NOVA.,Failed Reconciliation,Critical,Open,Reconciliation Team,12,,53,29,Pending
OPS-01221,2025-04-12 20:07:38,Investment Operations,Trade Settlement,Validation found a discrepancy in benchmark values between source records and the operational report for portfolio HORIZON.,Data Mismatch,High,Escalated,Settlement Operations Team,24,28.9,26,15,Accepted
OPS-00086,2025-04-13 10:24:25,Investment Operations,Trade Settlement,account S-204 has inconsistent counterparty confirmation information requiring comparison across input files.,Data Mismatch,Critical,In Review,Settlement Operations Team,8,,44,14,Rejected
OPS-00736,2025-04-13 10:27:16,Client Reporting,Client Request,Client Request data mismatch detected between source system and accounting report for account S-204.,Data Mismatch,High,Resolved,Client Service Team,24,22.0,33,11,Accepted
OPS-00758,2025-04-13 11:09:34,Risk Operations,Accounting Exception,mandate NOVA has inconsistent benchmark information requiring comparison across input files.,Data Mismatch,Low,Resolved,Accounting Control Team,76,49.2,9,3,Accepted
OPS-01210,2025-04-13 18:27:06,Investment Operations,Client Request,"Required account balance was not received for fund RIVER, blocking client request processing.",Missing Data,Low,Resolved,Client Service Team,68,43.0,11,7,Accepted
OPS-00783,2025-04-13 20:36:08,Client Reporting,Data Quality,Pricing discrepancy detected for portfolio HORIZON between trade feed and custodian record.,Pricing Discrepancy,Medium,Resolved,Data Quality Team,48,15.1,29,13,Accepted
OPS-00702,2025-04-13 21:46:58,Investment Operations,Reconciliation,Exception workflow needs a reviewed override for fund RIVER before processing can continue.,Manual Override,Medium,Resolved,Reconciliation Team,48,95.4,18,9,Accepted
OPS-00120,2025-04-14 04:12:45,Compliance Operations,Compliance Review,A manual override was requested for fund RIVER after an automated compliance review validation failed.,Manual Override,High,Open,Compliance Review Team,20,,33,19,Pending
OPS-00091,2025-04-14 11:38:30,Accounting Operations,Reconciliation,Validation found a discrepancy in security identifier values between source records and the operational report for portfolio HORIZON.,Data Mismatch,Medium,Open,Reconciliation Team,48,,19,11,Pending
OPS-00513,2025-04-15 13:32:24,Data Operations,Reporting,Report delivery is at risk after a late upstream data refresh for fund RIVER.,Report Delay,Medium,Resolved,Client Reporting Team,44,35.6,19,6,Accepted
OPS-00199,2025-04-15 22:15:49,Investment Operations,Pricing Issue,Pricing discrepancy detected for account S-204 between pricing feed and control file.,Pricing Discrepancy,Medium,Resolved,Pricing Control Team,44,34.5,17,10,Accepted
OPS-00477,2025-04-16 01:39:57,Data Operations,Data Quality,A manual override was requested for fund ORION after an automated data quality validation failed.,Manual Override,Medium,Resolved,Data Quality Team,52,73.7,12,6,Adjusted
OPS-00273,2025-04-16 05:40:14,Data Operations,Trade Settlement,Analyst identified incomplete benchmark information in the trade settlement queue for mandate NOVA.,Missing Data,High,Open,Settlement Operations Team,24,,27,9,Accepted
OPS-00064,2025-04-16 20:20:17,Investment Operations,Trade Settlement,"Required reference data was not received for portfolio ALPHA, blocking trade settlement processing.",Missing Data,Low,Resolved,Settlement Operations Team,68,31.4,8,4,Accepted
OPS-00338,2025-04-16 20:58:54,Investment Operations,Trade Settlement,Late confirmation received after the expected cutoff for portfolio HORIZON; settlement review is required.,Late Confirmation,High,Open,Settlement Operations Team,28,,40,16,Pending
OPS-01121,2025-04-17 06:18:14,Investment Operations,Pricing Issue,Independent price verification found an unusual account balance variance for account S-204.,Pricing Discrepancy,Medium,Resolved,Pricing Control Team,52,39.5,31,11,Adjusted
OPS-00868,2025-04-17 07:58:58,Data Operations,Data Quality,Data Quality workflow is waiting for missing reference data data for portfolio HORIZON.,Missing Data,Low,Open,Data Quality Team,72,,10,4,Pending
OPS-00049,2025-04-17 14:26:23,Data Operations,Reconciliation,Unresolved reconciliation break in reference data requires source-system comparison for mandate NOVA.,Failed Reconciliation,Low,Resolved,Reconciliation Team,68,44.9,7,2,Accepted
OPS-00494,2025-04-17 16:49:42,Data Operations,Data Quality,Data Quality data mismatch detected between pricing feed and control file for fund ORION.,Data Mismatch,Low,Escalated,Data Quality Team,76,,13,4,Pending
OPS-00850,2025-04-17 17:55:12,Accounting Operations,Accounting Exception,Analyst requested an approved manual adjustment to counterparty confirmation for portfolio HORIZON.,Manual Override,High,Escalated,Accounting Control Team,24,,36,15,Accepted
OPS-00198,2025-04-17 20:44:34,Risk Operations,Pricing Issue,Validation found a discrepancy in reference data values between source records and the operational report for mandate NOVA.,Data Mismatch,High,Resolved,Pricing Control Team,20,11.1,25,12,Accepted
OPS-01207,2025-04-17 21:27:19,Client Reporting,Reporting,Client reporting package for fund ORION is delayed due to missing benchmark data.,Report Delay,Medium,Resolved,Client Reporting Team,48,23.2,17,6,Accepted
OPS-00509,2025-04-17 21:49:40,Investment Operations,Data Quality,Validation found a discrepancy in account balance values between source records and the operational report for fund ORION.,Data Mismatch,High,Escalated,Data Quality Team,24,,30,16,Pending
OPS-00666,2025-04-18 00:41:00,Investment Operations,Trade Settlement,Analyst identified incomplete valuation information in the trade settlement queue for portfolio ALPHA.,Missing Data,Medium,Resolved,Settlement Operations Team,52,47.3,17,7,Accepted
OPS-00962,2025-04-18 01:39:56,Compliance Operations,Compliance Review,Potential compliance threshold exception for fund RIVER requires analyst review before approval.,Policy Exception,Medium,In Review,Compliance Review Team,44,,21,11,Accepted
OPS-00223,2025-04-18 19:37:24,Accounting Operations,Reporting,Analyst identified incomplete security identifier information in the reporting queue for fund RIVER.,Missing Data,High,Open,Client Reporting Team,28,,26,9,Pending
OPS-00466,2025-04-19 04:14:49,Accounting Operations,Reconciliation,NAV reconciliation difference detected between source data and the accounting report for portfolio ALPHA.,Failed Reconciliation,High,Resolved,Reconciliation Team,28,7.1,43,22,Rejected
OPS-00381,2025-04-19 04:21:15,Data Operations,Data Quality,fund RIVER has inconsistent valuation information requiring comparison across input files.,Data Mismatch,High,In Review,Data Quality Team,24,,26,9,Pending
OPS-00911,2025-04-19 18:53:59,Data Operations,Reconciliation,Reconciliation failed after a difference was detected between source system and accounting report for fund RIVER.,Failed Reconciliation,High,Open,Reconciliation Team,28,,31,16,Accepted
OPS-01081,2025-04-21 09:29:19,Investment Operations,Pricing Issue,Pricing review is required for account S-204 after a tolerance breach in the valuation feed.,Pricing Discrepancy,Medium,Escalated,Pricing Control Team,48,,28,15,Accepted
OPS-01059,2025-04-21 09:56:34,Investment Operations,Pricing Issue,Pricing Issue workflow is waiting for missing counterparty confirmation data for fund ORION.,Missing Data,Medium,Resolved,Pricing Control Team,48,26.4,15,6,Adjusted
OPS-00264,2025-04-21 10:02:57,Investment Operations,Trade Settlement,"Confirmation status remains pending for mandate NOVA, delaying the settlement workflow.",Late Confirmation,High,In Review,Settlement Operations Team,28,,34,12,Accepted
OPS-01128,2025-04-21 15:17:56,Client Reporting,Client Request,Client Request workflow is waiting for missing benchmark data for fund RIVER.,Missing Data,Medium,In Review,Client Service Team,48,,7,3,Rejected
OPS-00060,2025-04-22 16:38:55,Risk Operations,Pricing Issue,Pricing review is required for fund ORION after a tolerance breach in the valuation feed.,Pricing Discrepancy,High,Resolved,Pricing Control Team,24,21.1,31,13,Adjusted
OPS-00725,2025-04-23 08:15:28,Accounting Operations,Reporting,portfolio ALPHA has inconsistent benchmark information requiring comparison across input files.,Data Mismatch,Low,Resolved,Client Reporting Team,72,38.8,17,6,Accepted
OPS-01074,2025-04-23 17:51:59,Accounting Operations,Reconciliation,Reconciliation failed after a difference was detected between trade feed and custodian record for mandate NOVA.,Failed Reconciliation,High,Resolved,Reconciliation Team,24,10.9,44,25,Accepted
OPS-00313,2025-04-23 21:01:39,Data Operations,Reporting,Client reporting package for account S-204 is delayed due to missing benchmark data.,Report Delay,Medium,In Review,Client Reporting Team,52,,22,9,Pending
OPS-00196,2025-04-23 22:32:15,Risk Operations,Trade Settlement,Analyst identified incomplete counterparty confirmation information in the trade settlement queue for account S-204.,Missing Data,High,In Review,Settlement Operations Team,24,,25,11,Accepted
OPS-01004,2025-04-24 00:12:31,Investment Operations,Trade Settlement,"Required security identifier was not received for mandate NOVA, blocking trade settlement processing.",Missing Data,High,Escalated,Settlement Operations Team,28,,28,17,Pending
OPS-00297,2025-04-24 06:46:34,Investment Operations,Data Quality,Validation found a discrepancy in account balance values between source records and the operational report for account S-204.,Data Mismatch,Medium,In Review,Data Quality Team,48,,9,4,Pending
